Ad group report
1 October 2024 - 30 April 2025
Ad group status,Ad group,Campaign,Currency code,Default Max CPC,Max. CPV,Max. CPM,Target CPA,Target ROAS,Target CPM,Status,Status reasons,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (platform comparable),Cost / Conv. (platform comparable),Conv. value / Cost (platform comparable),Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Paused,Zone At Home,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Soundproof Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Edinburgh,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Bay Door Awnings (DRB),S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Bedroom Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Australia Awnings,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Patio Door Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,AwningCraft,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,215.59,239,17,7.11%,3.03,51.53,[],[],0.00,0,0.00, --,0,0,17,11.76%,140.00,2.72,2.00,3.03,25.76
Enabled,Wood Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,318%, --,Eligible,unknown,Standard,GBP,0,324.22,"1,375",166,12.07%,2.69,445.80,[],[],0.00,0,0.00, --,0,0,166,4.87%,"1,154.79",2.59,8.08,2.69,55.17
Paused,Broughty Ferry,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
